,Reference,,,Sample,,,
,Channel 1,Channel 2,Channel 3,Channel 1,Channel 2, Channel 3
Avg. Photodiode Voltage (V),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Avg. PMT Voltage (V),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Avg. RMS Voltage (V),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Avg. Theta (Degrees),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
I parallel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
I perpendicular,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dichroic Ratio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
